0.00.002.779 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.694 I srv    load_model: loading model '/fast_drive/cache/hub/models--unsloth--Qwen3.6-35B-A3B-GGUF/snapshots/a483e9e6cbd595906af30beda3187c2663a1118c/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf'
0.13.651.543 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.13.668.437 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.13.668.476 I srv  llama_server: model loaded
0.13.668.488 I srv  llama_server: listening on http://127.0.0.1:8131
17.05.156.332 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
17.05.158.173 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
17.20.176.395 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.07, t =  15.02 s / 136.37 tokens per second
17.38.304.437 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4096, progress = 0.13, t =  33.15 s / 123.57 tokens per second
17.55.909.921 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6144, progress = 0.20, t =  50.75 s / 121.06 tokens per second
18.19.040.475 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8192, progress = 0.26, t =  73.88 s / 110.88 tokens per second
18.34.376.573 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9527, progress = 0.31, t =  89.22 s / 106.78 tokens per second
18.35.561.063 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9627, progress = 0.31, t =  90.40 s / 106.49 tokens per second
18.35.936.438 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9653, progress = 0.31, t =  90.78 s / 106.34 tokens per second
18.37.606.124 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   9786, progress = 0.31, t =  92.45 s / 105.85 tokens per second
19.02.709.140 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  11834, progress = 0.38, t = 117.55 s / 100.67 tokens per second
19.07.023.026 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12166, progress = 0.39, t = 121.86 s / 99.83 tokens per second
19.18.412.163 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12988, progress = 0.42, t = 133.25 s / 97.47 tokens per second
19.48.153.959 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  15036, progress = 0.48, t = 163.00 s / 92.25 tokens per second
20.03.245.926 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16075, progress = 0.52, t = 178.09 s / 90.26 tokens per second
20.05.997.431 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16278, progress = 0.52, t = 180.84 s / 90.01 tokens per second
20.11.873.202 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  16707, progress = 0.54, t = 186.71 s / 89.48 tokens per second
20.16.318.416 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  17020, progress = 0.55, t = 191.16 s / 89.04 tokens per second
20.39.512.679 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  18574, progress = 0.60, t = 214.35 s / 86.65 tokens per second
21.12.704.604 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  20622, progress = 0.66, t = 247.55 s / 83.31 tokens per second
21.49.964.700 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  22670, progress = 0.73, t = 284.81 s / 79.60 tokens per second
21.58.436.259 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  23155, progress = 0.75, t = 293.28 s / 78.95 tokens per second
22.05.194.875 W srv          stop: cancel task, id_task = 0
22.22.356.714 I slot      release: id  3 | task 0 | stop processing: n_tokens = 24460, truncated = 0
22.22.356.755 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.787 (> 0.100 thold), f_keep = 1.000
22.22.358.984 I slot launch_slot_: id  3 | task 23 | processing task, is_child = 0
23.00.755.455 I slot print_timing: id  3 | task 23 | prompt processing, n_tokens =   2048, progress = 0.85, t =  38.40 s / 53.34 tokens per second
23.47.760.830 I slot print_timing: id  3 | task 23 | prompt processing, n_tokens =   4096, progress = 0.92, t =  85.40 s / 47.96 tokens per second
24.35.038.886 I slot print_timing: id  3 | task 23 | prompt processing, n_tokens =   6098, progress = 0.98, t = 132.68 s / 45.96 tokens per second
24.45.835.458 I slot print_timing: id  3 | task 23 | prompt processing, n_tokens =   6595, progress = 1.00, t = 143.48 s / 45.97 tokens per second
24.46.280.787 I slot print_timing: id  3 | task 23 | prompt processing, n_tokens =   6610, progress = 1.00, t = 143.92 s / 45.93 tokens per second
24.57.676.718 I slot print_timing: id  3 | task 23 | n_decoded =    100, tg =   8.90 t/s, tg_3s =   8.90 t/s
25.00.714.879 I slot print_timing: id  3 | task 23 | n_decoded =    126, tg =   8.83 t/s, tg_3s =   8.56 t/s
25.03.739.708 I slot print_timing: id  3 | task 23 | n_decoded =    153, tg =   8.85 t/s, tg_3s =   8.93 t/s
25.06.838.719 I slot print_timing: id  3 | task 23 | n_decoded =    179, tg =   8.78 t/s, tg_3s =   8.39 t/s
25.09.910.030 I slot print_timing: id  3 | task 23 | n_decoded =    206, tg =   8.78 t/s, tg_3s =   8.79 t/s
25.12.965.014 I slot print_timing: id  3 | task 23 | n_decoded =    231, tg =   8.71 t/s, tg_3s =   8.18 t/s
25.16.019.673 I slot print_timing: id  3 | task 23 | n_decoded =    256, tg =   8.66 t/s, tg_3s =   8.18 t/s
